Tipologia,Tipologia funzionamento,Tipologia scambio,Denominazione Commerciale,Marca,Modello,Identificativo modello unità esterna,Identificativo modello unità interna,Potenza termica [kWt],Presenza inverter,COP,GUE,Emissioni NO2
2.A,Elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 250-A .A04,AWO-M-E-AC-AF 04,Vitocal 250-A,"4,00",SI,"5,10",,
2.A,Elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 252-A .A04,AWOT-M-E-AC-AF 04,Vitocal 252-A,"4,00",SI,"5,10",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-S .B04,Vitocal 100-S/Vitocal 111-S,Vitocal 100,"4,10",SI,"5,10",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 111-S .B04,Vitocal 100-S/Vitocal 111-S,Vitocal 111,"4,10",SI,"5,10",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 201.D04 (monofase),,,"4,20",SI,"4,55",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 222-S 221.C04 (monofase),,,"4,20",SI,"4,55",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 04 (monofase),,,"4,5",SI,"4,64",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 222-S 04 (monofase),,,"4,5",SI,"4,64",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 242-S 04 (monofase),,,"4,5",SI,"4,64",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 250-S 04 (monofase),,,"4,5",SI,"4,64",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-S 04 (monofase),,,"4,54",SI,"4,55",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 111-S 04 (monofase),,,"4,54",SI,"4,55",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A 201.A06 (monofase),,,"4,83",SI,"4,72",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A 07 (trifase),,,"5,16",SI,"4,77",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A 201.A08 (monofase),,,"5,62",SI,"4,71",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-S .B06,Vitocal 100-S/Vitocal 111-S,Vitocal 100,"6,00",SI,"4,90",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 111-S .B06,Vitocal 100-S/Vitocal 111-S,Vitocal 111,"6,00",SI,"4,90",,
2.A,Elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 150-A .A06,AWO-M-E-AC-AF 06,Vitocal 150-A,"6,00",SI,"4,70",,
2.A,Elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 151-A .A06,AWOT-M-E-AC-AF 06,Vitocal 151-A,"6,00",SI,"4,70",,
2.A,Elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 250-A .A06,AWO-M-E-AC-AF 06,Vitocal 250-A,"6,00",SI,"5,00",,
2.A,Elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 252-A .A06,AWOT-M-E-AC-AF 06,Vitocal 252-A,"6,00",SI,"5,00",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-A 6 kW,AWO-M-AC1 01.A06,,"6,08",SI,"4,51",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-S 06 (monofase),,,"6,13",SI,"4,81",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 111-S 06 (monofase),,,"6,13",SI,"4,891",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 201.D06 (monofase),,,"6,30",SI,"4,41",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 222-S 221.C06 (monofase),,,"6,30",SI,"4,41",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Energycal 06 (monofase),,,"6,57",SI,"4,47",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A PRO AA-ID,-,6,"6,90",SI,"4,06",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A 201.A10 (monofase),,,"7,01",SI,"4,69",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A PRO AA-ID 6,Vitocal 200-A PRO,Vitocal 200,"7,10",SI,"4,10",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 300-A AWO-AC B11 (trifase),,,"7,21",SI,5,,
2.A,elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 200-S 6 kW,AWB-M-E-AC-AF 201.E06,Vitocal 200-S 6 kW,"7,40",SI,"4,97",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A 10 (trifase),,,"7,48",SI,"4,7",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 201.D08 (monofase),,,"7,54",SI,"4,52",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 222-S 221.C08 (monofase),,,"7,54",SI,"4,52",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A 201.A10 (trifase),,,"7,58",SI,"5,01",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 201.D10 (trifase),,,"7,58",SI,"5,01",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 07 (monofase),,,"7,6",SI,"4,3",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 222-S 07 (monofase),,,"7,6",SI,"4,3",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 242-S 07 (monofase),,,"7,6",SI,"4,3",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 250-S 07 (monofase),,,"7,6",SI,"4,3",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-A 8 kW,AWO-M-AC1 01.A08,,"7,81",SI,"4,38",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A 201.A13 (monofase),,,"7,85",SI,"4,72",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 300-A AWO-AC B14 (trifase),,,"7,97",SI,5,,
2.A,Elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 150-A .A08,AWO-M-E-AC-AF 08,Vitocal 150-A,"8,00",SI,"4,50",,
2.A,Elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 151-A .A08,AWOT-M-E-AC-AF 08,Vitocal 151-A,"8,00",SI,"4,50",,
2.A,Elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 250-A .A08,AWO-M-E-AC-AF 08,Vitocal 250-A,"8,00",SI,"4,70",,
2.A,Elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 252-A .A08,AWOT-M-E-AC-AF 08,Vitocal 252-A,"8,00",SI,"4,70",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Energycal 08,,,"8,01",SI,"4,33",,
