Tipologia intervento,Tipologia di collettori,Utilizzo,N,Marca,Modello,Area AG [m2],Area Aa [m2],Energia Qcol (50°C) [kWht/anno],Energia Qcol (75°C) [kWht/anno],Energia Qsol (50°C) [kWht/anno],Energia Qsol (75°C) [kWht/anno],Energia Qsol (150°C) [kWht/anno],Energia QL [MJ/anno],Producibilità Specifica requisiti d'accesso [kWht/m2anno]
"2.C,Piani,Solo ACS,,AcquaPower,ASC 3.00H,""3,00 m2"",,1552,893,,,,,""517,33"""
"2.C,Piani,Solo ACS,,AcquaPower,ASC 3.00V,""3,00 m2"",,1552,893,,,,,""517,33"""
"2.C,impianti solari termici factory made,solo ACS,1,ARISTON,KAIROS THERMO HF-2 150-1 TR,""2,20"",""2,01"",,,,,,3940,""544,50"""
"2.C,impianti solari termici factory made,solo ACS,1,ARISTON,KAIROS THERMO HF-2 150-1 TT,""2,20"",""2,01"",,,,,,3940,""544,50"""
"2.C,impianti solari termici factory made,solo ACS,1,ARISTON,KAIROS THERMO HF-2 200-1 TR,""2,20"",""2,01"",,,,,,4533,""626,45"""
"2.C,impianti solari termici factory made,solo ACS,1,ARISTON,KAIROS THERMO HF-2 200-1 TT,""2,20"",""2,01"",,,,,,4533,""626,45"""
"2.C,impianti solari termici factory made,Solo ACS,2,ARISTON,KAIROS THERMO HF-2 200-2 TR,""2,20"",""2,01"",,,,,,5901,""407,75"""
"2.C,impianti solari termici factory made,solo ACS,2,ARISTON,KAIROS THERMO HF-2 200-2 TT,""2,20"",""2,01"",,,,,,5901,""407,75"""
"2.C,impianti solari termici factory made,solo ACS,2,ARISTON,KAIROS THERMO HF-2 300-2 TR,""2,20"",""2,01"",,,,,,8042,""555,69"""
"2.C,impianti solari termici factory made,solo ACS,2,ARISTON,KAIROS THERMO HF-2 300-2 TT,""2,20"",""2,01"",,,,,,8042,""555,69"""
"2.C,impianti solari termici factory made,Solo ACS,1,ATI DI MARIANI,DISCOSOL DS01,""1,20"",""0,92"",,,,,,2416,""729,00"""
"2.C,impianti solari termici factory made,Solo ACS,1,ATI DI MARIANI,DISCOSOL DS02,""1,20"",""0,92"",,,,,,2320,""700,00"""
"2.C,impianti solari termici factory made,Solo ACS,1,ATI DI MARIANI,HYDROSOL 200,""1,89"",""1,52"",,,,,,3870,""707,24"""
"2.C,Piani,Solo ACS,,BAXI,SB 20+V,""2,01"",""1,89"",931,,,,,,""463,18"""
"2.C,Piani,Solo ACS,,BAXI,SB 25+V,""2,51"",""2,37"",1192,,,,,,""474,90"""
"2.C,Piani,Solo ACS,1,BAXI,SOL 200-V,""2,02"",""1,92"",918,522,,,,,""454,46"""
"2.C,Piani,Solo ACS,1,BAXI,SOL 250-O,""2,52"",""2,40"",1163,602,,,,,""461,51"""
"2.C,Piani,Solo ACS,1,BAXI,SOL 250-V,""2,52"",""2,40"",1223,705,,,,,""485,32"""
"2.C,Impianti solari termici factory made,Solo ACS,1,BERETTA,NB-SOL 150/1 TI,""1,89"",""1,77"",,,,,,3603,""565,00"""
"2.C,Impianti solari termici factory made,Solo ACS,1,BERETTA,NB-SOL 150/1 TP,""1,89"",""1,77"",,,,,,3603,""565,00"""
"2.C,Impianti solari termici factory made,Solo ACS,1,BERETTA,NB-SOL 200/1 TI,""1,89"",""1,77"",,,,,,3731,""585,00"""
"2.C,Impianti solari termici factory made,Solo ACS,1,BERETTA,NB-SOL 200/1 TP,""1,89"",""1,77"",,,,,,3731,""585,00"""
"2.C,Impianti solari termici factory made,Solo ACS,2,BERETTA,NB-SOL 220/2 TI,""1,89"",""1,77"",,,,,,5613,""440,00"""
"2.C,Impianti solari termici factory made,Solo ACS,2,BERETTA,NB-SOL 220/2 TP,""1,89"",""1,77"",,,,,,5613,""440,00"""
"2.C,Impianti solari termici factory made,Solo ACS,2,BERETTA,NB-SOL 300/2 TI,""1,89"",""1,77"",,,,,,6472,""507,00"""
"2.C,Impianti solari termici factory made,Solo ACS,2,BERETTA,NB-SOL 300/2 TP,""1,89"",""1,77"",,,,,,6472,""507,00"""
"2.C,Impianti solari termici factory made,Solo ACS,3,BERETTA,NB-SOL 300/3 TI,""1,89"",""1,77"",,,,,,8459,""442,00"""
"2.C,Impianti solari termici factory made,Solo ACS,3,BERETTA,NB-SOL 300/3 TP,""1,89"",""1,77"",,,,,,8459,""442,00"""
"2.C,Impianti solari termici factory made,Solo ACS,1,BERETTA,""NB-SOL-A 200/2,5 TI"",""2,50"",""2,39"",,,,,,5140,""597,40"""
"2.C,Impianti solari termici factory made,Solo ACS,1,BERETTA,""NB-SOL-A 200/2,5 TP"",""2,50"",""2,39"",,,,,,5140,""597,40"""
"2.C,Impianti solari termici factory made,Solo ACS,2,BERETTA,NB-SOL-A 200/4 TI,""2,00"",""1,91"",,,,,,6181,""449,46"""
"2.C,Impianti solari termici factory made,Solo ACS,2,BERETTA,NB-SOL-A 200/4 TP,""2,00"",""1,91"",,,,,,6181,""449,46"""
"2.C,Impianti solari termici factory made,Solo ACS,2,BERETTA,NB-SOL-A 300/4 TI,""2,00"",""1,91"",,,,,,8105,""589,37"""
"2.C,Impianti solari termici factory made,Solo ACS,2,BERETTA,NB-SOL-A 300/4 TP,""2,00"",""1,91"",,,,,,8105,""589,37"""
"2.C,Impianti solari termici factory made,Solo ACS,2,BERETTA,NB-SOL-A 300/5 TI,""2,50"",""2,39"",,,,,,8862,""514,99"""
"2.C,Impianti solari termici factory made,Solo ACS,2,BERETTA,NB-SOL-A 300/5 TP,""2,50"",""2,39"",,,,,,8862,""514,99"""
"2.C,Piani,Solo ACS,,BERETTA,SCF 20/4B A,""2,00"",""1,91"",947,522,,,,,""473,00"""
"2.C,Piani,ACS e riscaldamento,,BERETTA,SCF 20/4B A,""2,00"",""1,91"",947,522,,,,,""473,00"""
"2.C,Piani,Solo riscaldamento,,BERETTA,SCF 20/4B A,""2,00"",""1,91"",947,522,,,,,""473,00"""
"2.C,Piani,Solo ACS,,BERETTA,SCF 25/4B A,""2,50"",""2,39"",1184,652,,,,,""473,00"""
